,WT2-rmGR CTD,,,,WT3-rmGR CTD,,,,WT2-rmGR Peptide,,,,WT3-rmGR Peptide,,,,WT3-rmGR Peptide,,,,
Wavelengths,WT2,DOPS,DOPS:DOPC,DOPC,WT3,DOPS,DOPS:DOPC,DOPC,WT2 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,40 mM SDS,71 mM DPC,NTS1 Peptide,NTS1 w/ DOPS
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,-0.0525,-0.001,-0.072,-0.059,-0.157,-0.025,0.113,0.062,-0.026,0.08,-0.107,0.024,-0.017,0.225,-0.45,-0.141,-0.227,0.112,0.242,0.128,-0.061
298,-0.093,0.041,-0.0995,0.006,-0.056,0.031,0.067,0.052,-0.163,0.219,-0.148,-0.055,-0.105,0.237,-0.213,0.033,-0.293,0.061,0.231,-0.092,-0.139
297,-0.044,-0.007,-0.1025,-0.018,-0.025,0.032,-0.038,0.029,-0.087,-0.149,-0.116,-0.29,0.099,0.068,-0.166,0.023,-0.219,-0.045,0.207,0.03,-0.166
296,-0.0455,-0.001,-0.0295,-0.102,-0.149,0.005,0.072,-0.091,-0.022,0.058,-0.085,0.127,0.093,0.233,-0.333,0.108,-0.099,0.285,0.22,0.021,-0.149
295,-0.121,-0.086,-0.0635,-0.054,-0.033,0.045,-0.03,-0.123,-0.222,0.059,-0.055,-0.056,0.144,0.132,-0.202,0.006,-0.35,-0.109,0.171,0.111,-0.155
294,-0.089,0.023,-0.0265,-0.124,-0.054,0.058,-0.029,0.004,-0.345,0.093,-0.196,0.032,0.108,0.135,-0.479,0.072,-0.278,0.022,0.257,-0.003,-0.406
293,-0.1075,0.048,-0.0215,-0.019,-0.042,-0.008,-0.025,-0.05,-0.115,0.236,-0.306,-0.119,-0.142,0.28,-0.377,-0.056,-0.105,0.123,0.361,-0.12,-0.142
292,-0.0855,0.041,-0.0445,-0.1,-0.027,0.004,0.067,-0.106,-0.022,0.166,0.026,-0.287,0.096,0.24,-0.158,0.006,-0.239,0.086,0.096,-0.133,-0.446
